ror,id_oa,display_name,NomeEsteso,type,NomeOperativo,status,Tipologia,Statale,Indirizzo,COMUNE,PROVINCIA,REGIONE,ZonaGeografica,URL,ClasseDimensione,NomeRubrica,score
https://ror.org/01111rn36,https://openalex.org/I9360294,University of Bologna,Università degli Studi di Bologna,funder,Bologna,Attivo    ,Università,Statale   ,"Via Zamboni, 33",BOLOGNA,BOLOGNA,EMILIA ROMAGNA,NORD-EST,www.unibo.it,60.000 e oltre,BOLOGNA,87.18
https://ror.org/02mbd5571,https://openalex.org/I11039511,University of Bergamo,Università degli Studi di Bergamo,funder,Bergamo,Attivo    ,Università,Statale   ,"Via Salvecchio, 19",BERGAMO,BERGAMO,LOMBARDIA,NORD-OVEST,www.unibg.it,da 20.000 a 29.999,BERGAMO,87.18
https://ror.org/041zkgm14,https://openalex.org/I201324441,University of Ferrara,Università degli Studi di Ferrara,funder,Ferrara,Attivo    ,Università,Statale   ,Ex Convento di S.Lucia-v.Ariosto 35,FERRARA,FERRARA,EMILIA ROMAGNA,NORD-EST,www.unife.it,da 20.000 a 29.999,FERRARA,87.18
https://ror.org/02q2d2610,https://openalex.org/I79940851,University of Brescia,Università degli Studi di Brescia,funder,Brescia,Attivo    ,Università,Statale   ,"Piazza del Mercato, 15",BRESCIA,BRESCIA,LOMBARDIA,NORD-OVEST,www.unibs.it,da 10.000 a 19.999,BRESCIA,87.18
https://ror.org/0192m2k53,https://openalex.org/I131729948,University of Salerno,Università degli Studi di Salerno,funder,Salerno,Attivo    ,Università,Statale   ,"Via Giovanni Paolo II, 132",FISCIANO,SALERNO,CAMPANIA,SUD,www.unisa.it,da 30.000 a 59.999,SALERNO,87.18
https://ror.org/03fc1k060,https://openalex.org/I142910587,University of Salento,Università del Salento,funder,Salento,Attivo    ,Università,Statale   ,"piazza Tancredi,7",LECCE,LECCE,PUGLIA,SUD,www.unisalento.it,da 10.000 a 19.999,SALENTO,87.18
https://ror.org/04jr1s763,https://openalex.org/I45084792,University of Florence,Università degli Studi di Firenze,funder,Firenze,Attivo    ,Università,Statale   ,"P.zza S. Marco, 4",FIRENZE,FIRENZE,TOSCANA,CENTRO,www.unifi.it,da 30.000 a 59.999,FIRENZE,87.18
https://ror.org/00x27da85,https://openalex.org/I27483092,University of Perugia,Università degli Studi di Perugia,funder,Perugia,Attivo    ,Università,Statale   ,"P.zza dell' Universita', 1",PERUGIA,PERUGIA,UMBRIA,CENTRO,www.unipg.it,da 20.000 a 29.999,PERUGIA,87.18
https://ror.org/02n742c10,https://openalex.org/I142444530,University of Trieste,Università degli Studi di Trieste,funder,Trieste,Attivo    ,Università,Statale   ,"Piazzale Europa, 1",TRIESTE,TRIESTE,FRIULI VENEZIA GIULIA,NORD-EST,www.units.it,da 10.000 a 19.999,TRIESTE,87.18
https://ror.org/00240q980,https://openalex.org/I138689650,University of Padua,Università degli Studi di Padova,funder,Padova,Attivo    ,Università,Statale   ,"Via 8 Febbraio, 2",PADOVA,PADOVA,VENETO,NORD-EST,www.unipd.it,60.000 e oltre,PADOVA,86.49
https://ror.org/01xtv3204,https://openalex.org/I106296451,University of Foggia,Università degli Studi di Foggia,funder,Foggia,Attivo    ,Università,Statale   ,"Via Gramsci, 89/91",FOGGIA,FOGGIA,PUGLIA,SUD,www.unifg.it,da 10.000 a 19.999,FOGGIA,86.49
https://ror.org/04vc81p87,https://openalex.org/I16337185,University of Sannio,Università degli Studi del Sannio,education,Sannio,Attivo    ,Università,Statale   ,"Piazza Guerrazzi, 1",BENEVENTO,BENEVENTO,CAMPANIA,SUD,www.unisannio.it,inferiore a 10.000,SANNIO di BENEVENTO,86.49
https://ror.org/048tbm396,https://openalex.org/I55143463,University of Turin,Università degli studi di Torino,funder,Torino,Attivo    ,Università,Statale   ,"Via Verdi, 8",TORINO,TORINO,PIEMONTE,NORD-OVEST,www.unito.it,60.000 e oltre,TORINO,86.49
https://ror.org/00wjc7c48,https://openalex.org/I189158943,University of Milan,Università degli Studi di Milano,funder,Milano,Attivo    ,Università,Statale   ,"Via Festa del Perdono, 7",MILANO,MILANO,LOMBARDIA,NORD-OVEST,www.unimi.it,60.000 e oltre,MILANO,86.49
https://ror.org/039bp8j42,https://openalex.org/I119439378,University of Verona,Università degli Studi di Verona,funder,Verona,Attivo    ,Università,Statale   ,"Via dell'Artigliere, 8 Pal. Giuliari",VERONA,VERONA,VENETO,NORD-EST,www.univr.it,da 20.000 a 29.999,VERONA,86.49
https://ror.org/05trd4x28,https://openalex.org/I193223587,University of Trento,Università degli Studi di Trento,funder,Trento,Attivo    ,Università,Statale   ,"Via Calepina, 14",TRENTO,TRENTO,Provincia autonoma di TRENTO,NORD-EST,www.unitn.it,da 10.000 a 19.999,TRENTO,86.49
https://ror.org/0107c5v14,https://openalex.org/I83816512,University of Genoa,Università degli studi di Genova,funder,Genova,Attivo    ,Università,Statale   ,"Via Balbi, 5",GENOVA,GENOVA,LIGURIA,NORD-OVEST,www.unige.it,da 30.000 a 59.999,GENOVA,86.49
https://ror.org/02d8v0v24,https://openalex.org/I128649747,Libera Università Maria SS. Assunta,Libera Università Maria SS.Assunta - (LUMSA) di Roma,funder,Roma LUMSA,Attivo    ,Università,Non Statale,"Via della Traspontina, 21",ROMA,ROMA,LAZIO,CENTRO,www.lumsa.it,inferiore a 10.000,,86.08
https://ror.org/05ht0mh31,https://openalex.org/I129043915,University of Udine,Università degli Studi di Udine,funder,Udine,Attivo    ,Università,Statale   ,"Via Palladio, 8",UDINE,UDINE,FRIULI VENEZIA GIULIA,NORD-EST,www.uniud.it,da 10.000 a 19.999,UDINE,85.71
https://ror.org/02k7wn190,https://openalex.org/I124601658,University of Parma,Università degli Studi di Parma,funder,Parma,Attivo    ,Università,Statale   ,"Via Universita', 12",PARMA,PARMA,EMILIA ROMAGNA,NORD-EST,www.unipr.it,da 20.000 a 29.999,PARMA,85.71
