score,nome_operativo_miur,nome_esteso_miur,display_name_oa,id_openalex,match_type
100.00,Napoli Pegaso,"Universita telematica ""Pegaso"" di Napoli",Pegaso University,https://openalex.org/I4210125310,display_name
100.00,Salerno,Università degli Studi di Salerno,University of Salerno,https://openalex.org/I131729948,display_name
100.00,L'Aquila,Università degli studi di L'Aquila,University of L'Aquila,https://openalex.org/I26415053,display_name
100.00,Teramo,Università degli Studi di Teramo,University of Teramo,https://openalex.org/I124326101,display_name
93.28,Chieti e Pescara,Università degli studi Gabriele D'Annunzio di Chieti e Pescara,University of Chieti-Pescara,https://openalex.org/I39387349,display_name
100.00,Molise,Università degli Studi del Molise,University of Molise,https://openalex.org/I129627893,display_name
100.00,Foggia,Università degli Studi di Foggia,University of Foggia,https://openalex.org/I106296451,display_name
100.00,Bari,Università degli Studi di Bari,University of Bari Aldo Moro,https://openalex.org/I5561750,display_name
87.50,Bari Politecnico,Politecnico di Bari,Polytechnic University of Bari,https://openalex.org/I68618741,display_name
100.00,Salento,Università del Salento,University of Salento,https://openalex.org/I142910587,display_name
100.00,Basilicata,Università degli studi della Basilicata,University of Basilicata,https://openalex.org/I20272500,display_name
100.00,Calabria,Università della Calabria,University of Calabria,https://openalex.org/I45204951,display_name
100.00,Calabria,Università della Calabria,University of Reggio Calabria,https://openalex.org/I59725666,display_name
100.00,Catanzaro,Università degli studi di Catanzaro - Magna Grecia,Accademia di Belle Arti di Catanzaro,https://openalex.org/I4210133179,display_name
100.00,Reggio Calabria,Università degli studi Mediterranea di Reggio Calabria,Accademia di Belle Arti di Reggio Calabria,https://openalex.org/I4210116360,display_name
100.00,Palermo,Università degli Studi di Palermo,University of Palermo,https://openalex.org/I900890020,display_name
100.00,Messina,Università degli Studi di Messina,University of Messina,https://openalex.org/I112862951,display_name
100.00,Enna - KORE,"Libera Università della Sicilia Centrale ""KORE"" di Enna",Università degli Studi di Enna Kore,https://openalex.org/I246010334,display_name
100.00,Catania,Università degli Studi di Catania,University of Catania,https://openalex.org/I39063666,display_name
100.00,Sassari,Università degli Studi di Sassari,University of Sassari,https://openalex.org/I159650629,display_name
100.00,Cagliari,Università degli Studi di Cagliari,University of Cagliari,https://openalex.org/I172446870,display_name
