score,nome_esteso_miur,nome_operativo_miur,display_name_oa,id_openalex,match_type
92.53,Università degli studi L'Orientale di Napoli,Napoli L'Orientale,Università degli Studi di Enna Kore,https://openalex.org/I246010334,display_name
100.00,Università degli studi Suor Orsola Benincasa di Napoli,Napoli Benincasa,Università degli Studi Suor Orsola Benincasa,https://openalex.org/I2802142324,display_name
88.41,Istituto Superiore di Educazione Fisica di Napoli,Napoli ISEF,Istituto Superiore di Sanità,https://openalex.org/I27897274,display_name
84.62,Seconda Università degli Studi di Napoli,Napoli II,Università degli Studi eCampus,https://openalex.org/I167322064,display_name
87.69,"Universita telematica ""Pegaso"" di Napoli",Napoli Pegaso,Sapienza University of Rome,https://openalex.org/I861853513,alternative
95.21,Università degli Studi di Salerno,Salerno,Università degli Studi di Enna Kore,https://openalex.org/I246010334,display_name
94.66,Università degli studi di L'Aquila,L'Aquila,Università degli Studi della Tuscia,https://openalex.org/I138938424,display_name
88.00,Istituto Superiore di Educazione Fisica di L’Aquila,L'Aquila ISEF,Istituto Superiore di Sanità,https://openalex.org/I27897274,display_name
100.00,Gran Sasso Science Institute - Scuola di dottorato internazionale dell'Aquila,L'Aquila GSSI,Gran Sasso Science Institute,https://openalex.org/I4210150763,display_name
95.23,Università degli Studi di Teramo,Teramo,Università degli Studi di Enna Kore,https://openalex.org/I246010334,display_name
89.26,Università degli studi Gabriele D'Annunzio di Chieti e Pescara,Chieti e Pescara,Università degli Studi Internazionali di Roma,https://openalex.org/I4210135106,display_name
100.00,"Università telematica non statale ""Leonardo da Vinci"" di Torrevecchia Teatina (CH)",Torrevecchia Teatina - Leonardo da Vinci,University of Milan,https://openalex.org/I189158943,alternative
93.99,Università degli Studi del Molise,Molise,Università degli Studi della Tuscia,https://openalex.org/I138938424,display_name
92.79,Università degli Studi di Foggia,Foggia,Università degli Studi di Enna Kore,https://openalex.org/I246010334,display_name
94.67,Università degli Studi di Bari,Bari,Università degli Studi di Enna Kore,https://openalex.org/I246010334,display_name
92.91,Politecnico di Bari,Bari Politecnico,Politecnico di Milano,https://openalex.org/I93860229,display_name
86.90,Libera Università Mediterranea Jean Monnet,Casamassima - J.Monnet,Free University of Bozen-Bolzano,https://openalex.org/I171543936,alternative
90.14,Università del Salento,Salento,Università degli Studi di Enna Kore,https://openalex.org/I246010334,display_name
95.69,Università degli studi della Basilicata,Basilicata,Università degli Studi della Tuscia,https://openalex.org/I138938424,display_name
88.26,Università della Calabria,Calabria,University of Calabria,https://openalex.org/I45204951,display_name
88.26,Università della Calabria,Calabria,University of Calabria,https://openalex.org/I45204951,display_name
90.85,Università degli studi di Catanzaro - Magna Grecia,Catanzaro,Università degli Studi di Enna Kore,https://openalex.org/I246010334,display_name
89.50,Università degli studi Mediterranea di Reggio Calabria,Reggio Calabria,Università degli Studi Internazionali di Roma,https://openalex.org/I4210135106,display_name
93.11,"Università per stranieri ""Dante Alighieri"" di Reggio Calabria",Reggio Calabria - Dante Alighieri,Università per Stranieri Dante Alighieri,https://openalex.org/I4210107293,display_name
93.99,Università degli Studi di Palermo,Palermo,Università degli Studi di Enna Kore,https://openalex.org/I246010334,display_name
88.20,Istituto Superiore di Educazione Fisica di Palermo,Palermo ISEF,Istituto Superiore di Sanità,https://openalex.org/I27897274,display_name
94.15,Università degli Studi di Messina,Messina,Università degli Studi di Enna Kore,https://openalex.org/I246010334,display_name
88.21,"Libera Università della Sicilia Centrale ""KORE"" di Enna",Enna - KORE,Libera Università Internazionale degli Studi Sociali Guido Carli,https://openalex.org/I56441308,display_name
93.99,Università degli Studi di Catania,Catania,Università degli Studi della Tuscia,https://openalex.org/I138938424,display_name
93.46,Università degli Studi di Sassari,Sassari,Università degli Studi della Tuscia,https://openalex.org/I138938424,display_name
93.46,Università degli Studi di Cagliari,Cagliari,Università degli Studi della Tuscia,https://openalex.org/I138938424,display_name
