ateneo_id,score,cognome_rubrica,nome_completo_rubrica,display_name_openalex,author_id_openalex,orcid
https://openalex.org/I93860229,100.00,ANTONACCI Fabio,ANTONACCI Fabio,Fabio Antonacci,https://openalex.org/A5082156387,https://orcid.org/0000-0003-4545-0315
https://openalex.org/I93860229,100.00,ANTONELLI Manuela,ANTONELLI Manuela,Manuela Antonelli,https://openalex.org/A5016302687,https://orcid.org/0000-0003-1293-2019
https://openalex.org/I93860229,100.00,ANTONIETTI Alberto,ANTONIETTI Alberto,Alberto Antonietti,https://openalex.org/A5015584500,https://orcid.org/0000-0003-0388-6321
https://openalex.org/I93860229,100.00,ANTONIETTI Paola Francesca,ANTONIETTI Paola Francesca,Paola F. Antonietti,https://openalex.org/A5063675442,https://orcid.org/0000-0002-2138-3878
https://openalex.org/I93860229,100.00,ANZANI Anna,ANZANI Anna,Anna Anzani,https://openalex.org/A5018838094,https://orcid.org/0000-0002-4265-1720
https://openalex.org/I93860229,100.00,ANZI Luca,ANZI Luca,Luca Anzi,https://openalex.org/A5014556674,https://orcid.org/0000-0002-8212-1337
https://openalex.org/I93860229,100.00,APRILE Marcello,APRILE Marcello,Marcello Aprile,https://openalex.org/A5078181287,https://orcid.org/0000-0003-0233-7021
https://openalex.org/I93860229,100.00,ARCIDIACONO Andrea,ARCIDIACONO Andrea,Andrea Arcidiacono,https://openalex.org/A5029134262,https://orcid.org/0000-0001-5068-076X
https://openalex.org/I93860229,100.00,ARDAGNA Danilo,ARDAGNA Danilo,Danilo Ardagna,https://openalex.org/A5039059621,https://orcid.org/0000-0003-4224-927X
https://openalex.org/I93860229,100.00,ARDESHIRI LORDEJANI Amir,ARDESHIRI LORDEJANI Amir,Amir Ardeshiri Lordejani,https://openalex.org/A5041952799,https://orcid.org/0000-0002-9900-7768
https://openalex.org/I93860229,100.00,ARDITO Raffaele,ARDITO Raffaele,Raffaele Ardito,https://openalex.org/A5011353912,https://orcid.org/0000-0002-4271-9190
https://openalex.org/I93860229,100.00,ARENA Marika,ARENA Marika,Marika Arena,https://openalex.org/A5080770290,https://orcid.org/0000-0002-3145-3032
https://openalex.org/I93860229,100.00,ARGENTINI Tommaso,ARGENTINI Tommaso,Tommaso Argentini,https://openalex.org/A5021622255,https://orcid.org/0000-0003-0971-3659
https://openalex.org/I93860229,100.00,ARIOLI Gianni,ARIOLI Gianni,Gianni Arioli,https://openalex.org/A5013721577,https://orcid.org/0000-0002-3646-7900
https://openalex.org/I93860229,100.00,ARMILLOTTA Antonio,ARMILLOTTA Antonio,Antonio Armillotta,https://openalex.org/A5028155892,https://orcid.org/0000-0003-2619-0669
https://openalex.org/I93860229,100.00,ARMONDI Simonetta,ARMONDI Simonetta,Simonetta Armondi,https://openalex.org/A5027026582,https://orcid.org/0000-0001-5293-7581
https://openalex.org/I93860229,100.00,ARNABOLDI Michela,ARNABOLDI Michela,Michela Arnaboldi,https://openalex.org/A5001349205,https://orcid.org/0000-0003-0950-454X
https://openalex.org/I93860229,100.00,ARQUILLA Venanzio,ARQUILLA Venanzio,Venanzio Arquilla,https://openalex.org/A5030214300,https://orcid.org/0000-0003-1626-0221
https://openalex.org/I93860229,100.00,ARRIGONI Federica,ARRIGONI Federica,Federica Arrigoni,https://openalex.org/A5049940550,https://orcid.org/0000-0003-0331-4032
https://openalex.org/I93860229,100.00,ARRIGONI Stefano,ARRIGONI Stefano,Stefano Arrigoni,https://openalex.org/A5008998113,https://orcid.org/0000-0002-5316-7387
https://openalex.org/I93860229,100.00,ARTONI Fiorenzo,ARTONI Fiorenzo,Fiorenzo Artoni,https://openalex.org/A5056004409,https://orcid.org/0000-0002-0967-6643
https://openalex.org/I93860229,100.00,ASTOLFI Marco,ASTOLFI Marco,Marco Astolfi,https://openalex.org/A5070172964,https://orcid.org/0000-0001-6311-8362
https://openalex.org/I93860229,100.00,ATTA Nazly,ATTA Nazly,Nazly Atta,https://openalex.org/A5028511600,https://orcid.org/0000-0003-4221-2020
https://openalex.org/I93860229,100.00,ATZORI Marco,ATZORI Marco,Marco Atzori,https://openalex.org/A5045610782,https://orcid.org/0000-0003-0790-8460
https://openalex.org/I93860229,100.00,AUGELLI Francesco,AUGELLI Francesco,Francesco Augelli,https://openalex.org/A5091793956,https://orcid.org/0000-0002-3874-3972
https://openalex.org/I93860229,100.00,AURICCHIO Valentina,AURICCHIO Valentina,Valentina Auricchio,https://openalex.org/A5088152673,https://orcid.org/0000-0003-2138-5854
https://openalex.org/I93860229,100.00,AVERNA Marta,AVERNA Marta,Marta Averna,https://openalex.org/A5037315322,https://orcid.org/0000-0001-5998-7311
https://openalex.org/I93860229,100.00,AZZELLINO Arianna,AZZELLINO Arianna,Arianna Azzellino,https://openalex.org/A5025068282,https://orcid.org/0000-0003-1065-9469
https://openalex.org/I93860229,100.00,AZZONE Giovanni,AZZONE Giovanni,Giovanni Azzone,https://openalex.org/A5073123612,https://orcid.org/0000-0001-8884-3659
https://openalex.org/I93860229,100.00,AZZONE Michele,AZZONE Michele,Michele Azzone,https://openalex.org/A5062594002,https://orcid.org/0000-0002-0517-796X
